Id,SourceWorkbookId,Tier,DisplayName,Description,Tags,PromotionRoleId,OfferGroup,Enabled,Offerable,StackPolicy,ConflictPolicy,ReviewStatus,DisabledReason
G_1_01,G_1_01,1,时序加速,移动速度 +10%，攻击速度 +10%,Base|Utility,Sage,Trait,true,true,Stackable,None,Approved,
G_1_02,G_1_02,1,生命延展,最大生命 +15，立即恢复等量生命,Base|Survival,Brave,Trait,true,true,Stackable,None,Approved,
G_1_03,Runtime.G_1_03,1,应急格挡,每个关卡抵挡 1 次伤害,Base|Survival,Brave,Trait,true,true,Stackable,None,Approved,
G_1_04,G_1_03,1,物理增幅,物理攻击 +2,Base|Physical,Hunter,Trait,true,true,Stackable,None,Approved,
G_1_05,G_1_04,1,元素增幅,元素攻击 +2,Base|Element,Poet,Trait,true,true,Stackable,None,Approved,
G_1_06,G_1_05,1,CriticalExpert,Legacy JSON row not in current draw pool,Critical,Disabled,Disabled,false,false,Stackable,None,Unimplemented,Not part of current six offerable runtime cards.
G_1_07,G_1_06,1,ElementExpert,Legacy JSON row not in current draw pool,Element,Disabled,Disabled,false,false,Stackable,None,Unimplemented,Not part of current six offerable runtime cards.
G_1_08,G_1_07,1,回响共振,回响伤害效率 +10%,Echo|Utility,Sage,Trait,true,true,Stackable,None,Approved,
G_2_01,G_2_01,2,WaterPath,存疑 row lacks implemented runtime handler,Element,Disabled,Disabled,false,false,Stackable,None,DesignReview,Workbook review status is doubtful and no handler is implemented.
G_2_02,G_2_02,2,GrassPath,存疑 row lacks implemented runtime handler,Element,Disabled,Disabled,false,false,Stackable,None,DesignReview,Workbook review status is doubtful and no handler is implemented.
G_2_03,G_2_03,2,SurvivalTraining,Legacy JSON row lacks implemented runtime handler,Echo|Body,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_2_04,G_2_04,2,CriticalDrain,Legacy JSON row lacks implemented runtime handler,Critical,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_2_05,G_2_05,2,ReactionDrain,Legacy JSON row lacks implemented runtime handler,Element,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_2_06,G_2_06,2,PhysicalII,Legacy JSON row lacks current draw-pool approval,Base|Critical,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_2_07,G_2_07,2,ElementalII,Legacy JSON row lacks current draw-pool approval,Base|Element,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_2_08,G_2_08,2,Reserved,Reserved legacy row,Reserved,Disabled,Disabled,false,false,Stackable,None,Reserved,Reserved in legacy JSON.
G_2_09,G_2_09,2,Reserved,Reserved legacy row,Reserved,Disabled,Disabled,false,false,Stackable,None,Reserved,Reserved in legacy JSON.
G_3_01,G_3_01,3,TripleEcho,Legacy JSON row lacks implemented runtime handler,Echo,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_3_02,G_3_02,3,TimeAnchor,Legacy JSON row lacks implemented runtime handler,Echo,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_3_03,G_3_03,3,SoloBody,Legacy JSON row lacks implemented runtime handler,Body,Disabled,Disabled,false,false,Unique,EchoKeystone,Unimplemented,No current runtime handler.
G_3_04,G_3_04,3,TauntEcho,Legacy JSON row lacks implemented runtime handler,Body,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_3_05,G_3_05,3,MutualGrowth,Legacy JSON row lacks implemented runtime handler,Echo|Body,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_3_06,G_3_06,3,ElementScatter,Legacy JSON row lacks implemented runtime handler,Element,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_3_07,G_3_07,3,ImmunityPierce,Legacy JSON row lacks implemented runtime handler,Element,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_3_08,G_3_08,3,ReactionOverload,Legacy JSON row lacks implemented runtime handler,Element,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_3_09,G_3_09,3,SingleExtremeCrit,Legacy JSON row lacks implemented runtime handler,Critical,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_3_10,G_3_10,3,DoubleCrit,Legacy JSON row lacks implemented runtime handler,Critical,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_3_11,G_3_11,3,ElementCrit,Legacy JSON row lacks implemented runtime handler,Critical|Element,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
G_3_12,G_3_12,3,ElementCanCrit,Legacy JSON row lacks implemented runtime handler,Critical|Element,Disabled,Disabled,false,false,Stackable,None,Unimplemented,No current runtime handler.
FORGE_LIGHT,Runtime.FORGE_LIGHT,0,轻度锻炼,生命 +2，物理与元素攻击 +1,Forge,Disabled,Forge,true,true,Stackable,None,Approved,
FORGE_MEDIUM,Runtime.FORGE_MEDIUM,0,中度锻炼,生命 -2，物理与元素攻击 +2,Forge,Disabled,Forge,true,true,Stackable,None,Approved,
FORGE_EXTREME,Runtime.FORGE_EXTREME,0,极限锻炼,生命 -6，物理与元素攻击 +2,Forge,Disabled,Forge,true,true,Stackable,None,Approved,
